"2.8","","","60","Nikon","Nikkor 60mm 1:2.8 AF-D Micro","Nikon AF","","250","NYC","3084299","",""
"4.5","","","70","Nikon","Nikkor AF-S 70-300mm 1:4.5-5.6 G ED VR","Nikon AF","300","499","Storage","","",""
"1.4","Jan 18, 2013","","85","Nikon","AF Nikkor 85mm 1:1.4 D","Nikon AF","","985","NYC","447845","",""
"1.4","","","85","Nikon","Nikkor AF-S 85mm 1:1.4G","Nikon AF","","2196","NYC","","",""
"2","Mar 5, 2013","","105","Nikon","AF DC Nikkor 105mm 1:2 D","Nikon AF","","995","NYC","US 406370","",""
"2.8","","","105","Nikon","Nikkor AF-S 105mm 1:2.8G ED","Nikon AF","","896","Storage","US 384231","",""
"2","Aug 22, 2012","","135","Nikon","AF DC Nikkor 135mm 1:2 D","Nikon AF","","1800","NYC","514210","",""
"4","Mar 11, 2013","","200","Nikon","AF Micro Nikkor 200mm 1:4 D","Nikon AF","","1300","NYC","409619","",""
"1.8","","","50","Olympus","Auto-S 1:1.8 50mm","Olympus","","179","NYC","2889796","",""
"2.8","","","50","Olympus","Auto-T 100mm 1:2.8","Olympus","","750","NYC","197573","",""
"4","Jun 25, 2012","","45","Pentax","SMC Pentax 67 f4 45mm","Pentax 6X7","","450","NYC","8588925","","Adorama"
"2.4","Jun 24, 2012","","105","Pentax","Pentax Takumar 6X7  f2.4/105","Pentax 6X7","","250","NYC","8489494","",""
"2.4","Jul 3, 2012","","105","Pentax","SMC Pentax 67 1:2.4 105mm","Pentax 6X7","","150","Storage","8760312","",""
"2.8","","","50","Sigma","Macro 50mm 1:2.8","Canon FD","","599","NYC","1037855","",""
"3.5","6/29/2022","","24","Sigma","24mm F3.5 DG DN","Leica SL","","499","NYC","55574283","","Amazon"
"1.4","6/30/2022","","50","Sigma","50mm F1.4 Art DG HSM","Leica SL","","950","NYC","","","Amazon"
"2","6/30/2022","","35","Sigma","35mm F2.0 DG DN","Leica SL","","639","NYC","55640301","","Amazon"
"2.8","1/17/2024","62","105","Sigma","105mm F2.8 DG DN Macro","Sony E","","799","Carpinteria","57593243","","B&H"
"","6/22/2017","","","Sony","2x Teleconverter","Sony E","","549","NYC","4805605","Own","Amazon"
"2.8","12/11/2019","","16","Sony","E 2.8/16-55 G","Sony E","55","1298","NYC","1803527","Own","Amazon"
"3.5","","","18","Sony","E 3.5-5.6/18-135","Sony E","135","","NYC","1986708","",""
"2.8","10/7/2019","","20","Sony","E 2.8/20","Sony E","","298","NYC","0245171","","Amazon"
"1.8","3/9/2020","","20","Sony","FE 1.8/20 G","Sony E","","898","NYC","1805303","","Amazon"
"4","9/19/2018","","24","Sony","F 4/24-105","Sony E","105","1298","Archived","1850766","","Amazon"
"1.4","4/24/2020","","24","Sony","FE 1.4/24 GM","Sony E","","1200","Storage","1844885","","Amazon"
"2.8","5/25/2017","","24","Sony","FE 2.8/24-70 GM","Sony E","70","2199","NYC","1845589","","Amazon"
"2.8","4/19/2020","","24","Sony","FE 2.8/24-70 GM","Sony E","70","2198","Storage","1966206","","Amazon"
"4","3/23/2018","","24","Sony","FE 4/24-105 G OSS","Sony E","105","1298","Storage","1821546","",""
"1.8","11/6/2019","","35","Sony","E35mm F1.8 OSS","Sony E","","473","NYC","2180773","",""
"4","7/14/2015","","70","Sony","FE 4/70-200 G OSS","Sony E","200","2300","NYC","1818439","","Amazon"
"1.4","6/6/2017","","85","Sony","FE 1.4/85 GM","Sony E","","1798","Storage","1800003","","Amazon"
"1.4","8/17/2017","","85","Sony","FE 1.4/85 GM","Sony E","","1799","Truckee","1821154","Gifted","Amazon"
"2.8","4/16/2020","","90","Sony","90mm f/2.8 Macro G OSS Lens","Sony E","","1098","Carpinteria","1898279","","Amazon"
"2.8","7/23/2018","","90","Sony","90mm f/2.8 Macro G OSS Lens","Sony E","","1098","NYC","1861258","","Amazon"
"2.8","6/6/2017","","24","Sony","FE 2.8/24-70 GM","Sony E","70","2198","Archived","8300586","","Amazon"
"4.5","","77","100","Sony","FE 4.5 - 5.5/100 - 400 GM OSS","Sony E","400","2498","NYC","1843532","",""
"2.8","11/23/2023","82","16","Sony","FE 2.8/16 - 35 GM II","Sony E","35","2298","NYC","1805441","","B&H"
"2.8","10/25/2020","","28","Tamron","28 - 200 F/2.8 - 5.6 Di III RXD","Sony E","200","780","NYC","019749","","Amazon"
"3.5","","","28","Tamron","AF 28-300MM F/3.5-6.3 XR Di VC LD Aspherical (IF)","Nikon AF","300","319","Storage","014979","",""
"1.4","","","35","Voigtländer","Nokton 35mm F1.4","Leica M","","629","Carpinteria","8010799","",""
"2","08/09/2002","","40","Voigtländer","Ultron 40mm f2","Nikon MF","","489","Storage","","","Adorama"
"1.7","","","45","Yashica","Color-Yashinon DX 1:1.7","Contax/Yashica","","","NYC","","",""
"4","9/1/2014","","24","Zeiss","Vario-Tessar FE 2/24-70 ZA OSS","Sony E","70","998","Storage","45859431","","Amazon"
"4","9/25/2013","","24","Zeiss","Vario-Tessar FE 2/24-70 ZA OSS","Sony E","70","998","Truckee","","Gifted",""
"2.8","1/8/2014","","35","Zeiss","Sonnar FE 2.8/35 ZA T*","Sony E","","845","NYC","45606475","",""
"1.8","11/6/2017","","55","Zeiss","Sonnar FE 1.8/55 ZA T*","Sony E","","998","Storage","45700031","Own","B&H"
"4","9/16/2015","","16","Zeiss","Vario-Tessar FE 4/16-35 ZA OSS","Sony E","35","1250","NYC","45993485","","Willoughby's"
"2","6/12/2017","","25","Zeiss","Distagon 2/25 T* Batis","Sony E","","1299","NYC","60035742","Own","Amazon"
"2","8/18/2017","","25","Zeiss","Distagon 2/25 T* Batis","Sony E","","1299","Truckee","60033981","Gifted","Adorama"
"2.8","","","28","Zeiss","Biogon 2.8/28 T*","Contax G","","1141","Storage","7871020","",""
"2","Jul 2, 2012","","35","Zeiss","Biogon 2/35 ZM","Leica M","","845","Storage","15859140","","Adorama"
"1.4","9/16/2015","","35","Zeiss","Distagon FE 1.4/35 ZA","Sony E","","1400","NYC","46205466","Own","Willoughby's"
"2","","","45","Zeiss","Carl Zeiss Planar 2/45","Contax G","","300","NYC","9521239","",""
"2.8","","","80","Zeiss","Planar 2.8/80","Hasselblad","","500","NYC","8809625","",""
"2.8","Jul 17, 2012","","80","Zeiss","Planar 2.8/80mm","Hasselblad","","1283","Storage","7215962","",""
"2.8","","","90","Zeiss","Sonnar 2.8/90 T*","Contax G","","387","NYC","7922881","",""
"2.8","","","80","Zeiss","Planar 2.8/80","Hasselblad","","","Carpinteria","7215962","",""
"2","12/28/2025","77","110","Carl Zeiss","F Planar 2/110 T*","Hasselblad","From eBay","1","Carpinteria","7143078","Own","Jo Geier"
