"Chartier, Jaq","1/22/2021","11 x 11","Kitchen","Dye sublimination on aluminum metal","","YM","900","Truckee","Sun Test #13-2d (Day 1, 4, 10, 47)","Dolby Chadwick Gallery","","Own"
"Cooke","","14 x 14","","Pastel on Paper","","YM","","Storage","","","","Own"
"Cooke","","14 x 14","","Pastel on Paper","","YM","","Storage","","","","Own"
"Cooke","","14 x 14","","Pastel on Paper","","YM","","Storage","","","","Own"
"Cooke","","14 x 14","","Pastel on Paper","","YM","","Storage","","","","Own"
"Corda, Mauro","9/29/2009","","","Sculpture: Bronze","","Mark","4500","NYC","Elle et Lui","","","Own"
"Cosnowski, Chris","8/3/2021","19 x 19","","Oil on panel","","YM","6500","Carpinteria","Karen","Dolby Chadwick Gallery","2020","Own"
"Courter, F. C.","2/15/1969","11x15","","Oil on board","","Mark","100","Carpinteria","Landscape","Aunt Rosie","1872","Own"
"Courtin, Pierre Louis Maurice","6/15/1989","29.5 x 23.5","","Etching","","Mark","1000","Carpinteria","Original Exhibition Poster","La Hune","1972","Own"
"Cragg, Anthony","11/7/2019","81 x 27 x 23","Kitchen","Wood","","YM","419000","NYC","Ivy","Drake/Anderson","","Own"
"Dali, Salvador","","10.25 x 6.75","","Woodblock Print","","Mark","","SF","The Blastphemers","","1960","Own"
"Dali, Salvador","","10.5 x 6.75","","Woodblock Print","","Mark","","Storage","The Fallen Angel","","1960","Own"
"Debreaux, René-Charles-Louis","3/14/1972","30.5 x 35","","Oil on board","","Mark","250","Storage","Chartres, Mai 1912","Mr Hird","1912","Own"
"Delfgaauw, Gerardus Johannes","2/1/1997","22 x 46","Wally's Room","Painting: Oil on Canvas","","Mark","","SF","Port of Rotterdam","","","Own"
"Dempwolf, Karl","3/19/2022","12 x 16","","Oil on Canvas","","YM","4200","Truckee","The Gatekeepers Abode","Portico Gallery","","Own"
"DeStabler, Stephen","1/29/2015","64.5 x 12 x 15","Living Room","Sculpture: Stone","","YM","58000","Truckee","Figure Column XXXIII","Stremmel Gallery","","Own"
"DeStabler, Stephen","6/11/2014","755 x 13.5 x 13.5","Pool","Sculpture: Bronze","","YM","110000","Carpinteria","Figure with Two Found Legs, 2/4","Dolby Chadwick Gallery","2010","Own"
"DeStabler, Stephen","9/21/2016","44 x 8 x 17","","Sculpture: Pigmented Clay","","YM","38000","Carpinteria","Leg with Back Bone","","1996","Own"
"DeStabler, Stephen","6/11/2014","113 x 30 x 34","Bocce Court","Sculpture: Bronze","","YM","185000","Carpinteria","Single Winged Figure on Plinth 1/4","Dolby Chadwick Gallery","2010","Own"
"DeStabler, Stephen","6/11/2014","74.4 x 32.5 x 34","Entryway","Sculpture: Bronze","","YM","325000","Carpinteria","Two Women Walking, AP","Dolby Chadwick Gallery","1992","Own"
"DeStabler, Stephen","1/22/2021","38 x 20.5 x 13","Living Room","Bronze","","YM","55000","Carpinteria","Winged Woman Torso I","Dolby Chadwick Gallery","1994","Own"
"DeStabler, Stephen","2/12/2021","83.75 x 20.75 x 49.50","","Bronze","","YM","270000","Carpinteria","Winged Woman Walking V (AP 2)","Dolby Chadwick Gallery","1990","Own"
"Diebenkorn, Richard","6/6/2017","25.5 x 40","Guest Bedroom","Lithograph","","YM","68000","SF","Red-Yellow-Blue","Christopher Clark","1986","Own"
"Diehl, Guy","9/20/2023","17 x 18 in","","Acrylic on Canvas","","YM","21600","SF","Take-Out Only #14","Dolby Chadwick Gallery","2023","Own"
"Dinnerstein, Harvey","10/9/2005","16.25in x 8in","Gym","Pencil, Graphite and Pastel on Paper","","Mark","2800","Carpinteria","Asma Feyyinmi","Frey Norris Gallery","1991","Own"
"Dinnerstein, Harvey","3/16/2009","","","Ink on Paper","","Mark","","Storage","Dancers","Frey Norris Gallery","2002","Own"
"Dinnerstein, Harvey","3/31/2006","28.25 * 38.25","Wally's room","Pastel on Board","","Mark","18000","SF","The Photographer","Frey Norris Gallery","1988","Own"
"Dinnerstein, Harvey","10/9/2005","27in x 55.75in","","Pastel on Board","","Mark","24000","Carpinteria","Underground Musician","Frey Norris Gallery","1998","Own"
"Document","","20 x 23","","Document","","Mark","","Storage","Romolo Armenante Dr Chem","","1920","Own"
"Donaldson, Robin","10/6/2024","12 x 12","","Aerosol Acrylic on CNC Cut","","YM","2000","Carpinteria","Nine Fold Study #2","Sullivan Goss","2022","Own"
"Donaldson, Robin","10/6/2024","12 x 12","","Aerosol Acrylic on CNC Cut","","YM","2000","Carpinteria","Nine Fold Study #5","Sullivan Goss","2022","Own"
"Dunlevie, Kathryn","5/19/2006","37 x 60","","Acrylic on Wood","","Mark","5500","Archived","Changing Station","Hang Art","","Own"
"DuPont, Ronald","","","","Painting: Oil on Canvas","","Young","","Paris Saint-Guillaume","","","","Own"
"DuPont, Ronald","","","","Painting: Oil on Canvas","","Young","","Paris","","","","Own"
"DuPont, Ronald","","","","Painting: Oil on Canvas","","Young","","Paris Saint-Guillaume","","","","Own"
"Dvorak, Phillip","3/10/2006","21"" x 84","","Charcoal and Pastel on Paper","","Mark","5800","Missing","Five Fragmented Models II","Frey Norris Gallery","3004","Own"
"Dvorak, Phillip","3/15/2006","37"" x 36.5","Master Bath","Charcoal and Pastel on Paper","","Mark","4600","SF","Large Garden Abstract with Figure I (Summer)","Frey Norris Gallery","2005","Own"
"Dvorak, Phillip","3/10/2006","60 * 12","","Charcoal and Pastel on Paper","","Mark","4000","Missing","Thin Vertical Scroll II","Frey Norris Gallery","2005","Own"
"Dvorak, Phillip","3/10/2006","","","Charcoal and Pastel on Paper","","Mark","1800","Missing","Untitled (Nude with Short Black Hair)","Frey Norris Gallery","","Own"
"Dvorak, Phillip","4/25/2006","","","Charcoal and Pastel on Paper","","Mark","1800","Missing","Untitled (Praying Nude)","Frey Norris Gallery","","Own"
"Elkington","4/19/2006","","","Silver","","Mark","6500","Carpinteria","Elkington Candlesticks","The Leopard's Head","","Own"
"Filipowski, Richard","1/17/2015","8 1/2 x 11","Hallway","Casein on Paper","","YM","9600","Truckee","4 Drawings","","1952","Own"
"Filipowski, Richard","1/17/2015","81/2 x 11","Hallway","Casein on Paper","","YM","9600","Truckee","4 Drawings","Hostler Burrows","1952","Own"
"Filipowski, Richard","1/17/2015","81/2 x 11","Hallway","Casein on Paper","","YM","9600","Truckee","4 Drawings","Hostler Burrows","1952","Own"
"Filipowski, Richard","1/17/2015","81/2 x 11","Hallway","Casein on Paper","","YM","9600","Truckee","4 Drawings","Hostler Burrows","1952","Own"
"Fini, Leonora","","","Master Bath","Lithograph","","Mark","5000","Carpinteria","","Frey Norris Gallery","","Own"
"Fouvry, Edwige","2/12/2021","14 x 18","","Oil on aluminum panel","","YM","3420","770 Ladera","Estuaire","Dolby Chadwick Gallery","2020","Own"
"Fouvry, Edwige","8/3/2021","75 x 75","","Oil on Canvas","","YM","38000","Carpinteria","Grange","Dolby Chadwick Gallery","2017","Own"
"Fouvry, Edwige","2/13/2021","10 x 20","","Oil on aluminum panel","","YM","2520","770 Ladera","Grasse, de la chambre","Dolby Chadwick Gallery","2020","Own"
"Fouvry, Edwige","8/3/2021","20 x 16","","Oil on board","","YM","4600","770 Ladera","La chemin sous la neige","Dolby Chadwick Gallery","2018","Own"
"Fouvry, Edwige","9/21/2016","17 x 21","","Painting: Oil on Canvas","","YM","3800","Carpinteria","La Lisiere","Dolby Chadwick Gallery","2012","Own"
"Fouvry, Edwige","9/21/2016","20 x 20","","Painting: Oil on Panel","4,400","YM","3500","Dolby Chadwick","Pierre","Dolby Chadwick Gallery","2015","Consigned"
"Fouvry, Edwige","9/21/2016","60 x 60","","Painting: Oil on Canvas","35,000","YM","28000","Dolby Chadwick","Tas de bois","Dolby Chadwick Gallery","2015","Consigned"
"Fried, Zipora","","","Powder","Mixed Media on Paper","","YM","","NYC","","Sikkema Jenkins & Co","2019","Own"
"Fried, Zipora","","","Powder","Mixed Media on Paper","","YM","","NYC","","Sikkema Jenkins & Co","2019","Own"
"Gale, Ann","9/21/2016","15 x 12","","Painting: Oil on masonite","","YM","18000","Carpinteria","Babs","Dolby Chadwick Gallery","2005","Own"
"Gale, Ann","1/19/2021","44 x 58","Master Bed","Oil on Canvas","","YM","50000","Truckee","Shawna in Lines","Dolby Chadwick Gallery","2016","Own"
"Gale, Ann","1/22/2021","14 x 11","","Oil on Mylar and board","","YM","18000","Carpinteria","Shawna with Purple","Dolby Chadwick Gallery","2020","Own"
"Gelabert, Michael","","52 x 38.5","","Oil on Canvas","","Mark","","Storage","","","","Own"
"Godfrey, DeWitt","","","","Sculpture: Metal","","YM","250000","Ghent: Glass House","Folly","Artist","2018","Own"
"Gonzalez, Matt","9/21/2016","22 x 18.5","","Found Paper Collage","","YM","3500","Carpinteria","You sing the humansong of tooth and soul","Dolby Chadwick Gallery","2016","Own"
"Gonzalo Fuenmayor","5/4/2023","52 x 36","","Charcoal on Paper","","YM","13000","SF","Carmen Plantation B","Dolby Chadwick Gallery","2022","Own"
"Goodman, Harold","2/2/2023","370 mm","","Ochre on Stringybark","","YM","420","Carpinteria","Ngarradj (Sulphur Crested Cockatoo)","Art Mob","2022","Own"
"Goodman, Harold","2/2/2023","250 mm","","Ochre on Stringybark","","Mark","420","Carpinteria","Ngarradj (Sulphur Crested Cockatoo)","Art Mob","2022","Own"
"Goodwin, Arthur Clifton ","12/5/2001","23.5 x 28.2","","Pastel on Paper","","Mark","18000","Storage","New York Docks","","","Own"
"Gordin, Sidney","9/4/2021","9.375 x 9.0","TV Room","Bronze and steel","","YM","9500","Carpinteria","Sculpture 9-62","Sullivan Goss","1962","Own"
"Hagler, Josh","","94.1 x 94.1","","Painting: Oil on Canvas","","Mark","8000","Storage","Virgin Martyr","Frey Norris Gallery","2008","Own"
"Hameyama","","17 x 15","Kitchen","","","Mark","","Carpinteria","Artichaut","","2002","Own"
"Haring, Ketih","","31.5 x 24","","Lithograph","","YM","","Storage","","Martin Lawrence Galleries","1985","Own"
"HE","1/10/2022","","","Oil on board","","YM","1600","Carpinteria","Still life","Lucca Antiques","1960","Own"
"Hedberg, Hans","1/17/2015","","","Stoneware","","YM","11000","Truckee","Stacking Container","","1960","Own"
"Henrot, Camille","11/3/2021","29.5 x 11.8 x 27","","Bronze","","YM","43000","Carpinteria","A Family of Four","kamel mennour","2022","Own"
"Hiroki Funushima","10/22/2024","18.5 x 3.3 x 3.3 inches","","Forged, hammered, and polished iron","","YM","4000","SF","Person (2017-H)","Japonesque","2017","Own"
"Hiroki Funushima","10/22/2024","24 x 4 x 6 inches 5 lbs.","","Hammered ironwork with stone base","","YM","4000","SF","Person (2022)","Japonesque","2022","Own"
"Hiromichi Iwashita","10/22/2024","15.75 x 62.25 x 1.5 inches","","Japanes paper, gouache, and graphite","","YM","20000","Carpinteria","Chigireu mure No. 2 - A Thousand Clouds","Japonesque","2017","Own"
"Hiromichi Iwashita","10/22/2024","21.25 x 24.75 x 1.20 inches","Foyer","Japanes paper, gouache, and graphite","","YM","16200","Carpinteria","Misuumi no asa - Morning Lake 1","Japonesque","2018","Own"
"Hiromichi Iwashita","10/22/2024","21.25 x 24.75 x 1.20 inches","Foyer","Japanes paper, gouache, and graphite","","YM","16200","Carpinteria","Misuumi no asa - Morning Lake 2","Japonesque","2018","Own"
"Hiromichi Iwashita","10/22/2024","33.5 x 33.2 x 2.5 inches","Living Room Wall","Pencil drawings on paper on veneer","","YM","16000","Carpinteria","Tani shigure","Japonesque","2010","Own"
"Hisashi, Tenmyouya","6/30/2006","17 x 14.5","","Pen and Acrylic on Paper","","Mark","4500","Storage","Attack on the Diet Building","Frey Norris Gallery","","Own"
"Holton, Rachel","1/24/2015","","","Mixed Media on Paper","","YM","350","Truckee","Flying Solo","","","Own"
"Holton, Rachel","1/24/2015","","","Mixed Media on Paper","","YM","650","Truckee","The Five Hummers","","2014","Own"
"Holton, Rachel","1/24/2015","","","Mixed Media on Paper","","YM","350","Truckee","The Sword Fighters","","2014","Own"
"Holty, Carl","7/28/2019","20 x 24","TV Room","Painting: Oil on Canvas","","YM","8400","Ghent: Glass House","Untitled (Tree in Landscape)","","1947","Own"
"Howe, Brad","3/19/2022","80 X 20 X 22","Outside Deck","Sculpture: Stainless Steel","","YM","44200","Truckee","See You Down the Road","Caldwell Snyder","2021","Own"
"Hoyos, Ana Mercedes","4/18/2022","100 x 100 cm","Living Room","Oil on canvas","","YM","70000","Carpinteria","Guineos","Restrepo Acevedo","1991","Own"
"Huff, Nathan","10/23/2021","54 x 21","Master Bed","Wood","","YM","2750","Carpinteria","A Sudden Lurch to Help","Sullivan Goss","2019","Own"
"Indian Person","","","","Sculpture: Bronze","","YM","","Paris Saint-Guillaume","","","","Own"
"Ink on Paper","6/22/2017","48 x 36","","Ink on Paper","","YM","8000","Truckee","Aphrodisiac","Kang Collection","2017","Own"
"Ink on Paper","2/28/2018","48 x 36","","Ink on Paper","","YM","8000","Ghent: Glass House","Aphrodisiac 03","Artist","2017","Own"
"Ink on Paper","7/4/2017","72 x 36","Hall","Ink on Paper","","YM","12000","Ghent: Glass House","Magic Pot, 02, Lollipop","Ahn, Seong Min","2014","Own"
"Ink on Paper","6/22/2017","72 x 36","Hall","Ink on Paper","","YM","24000","Ghent: Glass House","Magic Pot, Lollipop & White Peony","Artist","2014","Own"
"Ink on Paper","7/4/2017","24 x 18","Master Den","Ink on Paper","","YM","3000","Truckee","Neo Peony White","Artist","2012","Own"
"Ink on Paper","6/22/2017","24 x 18","Master Den","Ink on Paper","","YM","3000","Truckee","Neo Peony, Orange","Artist","2012","Own"
"Jardine, William","","14.5 x 15.5","","Steel Engraving ","","Mark","325","Storage","Aotes Trivirogatus","","1855","Own"
"Jardine, William","","14.5 x 15.5","","Steel Engraving ","","Mark","325","Storage","Callithrix Sciureus","","1855","Own"
"Jardine, William","","14.5 x 15.5","","Steel Engraving ","","Mark","325","Storage","Cercocebus Sabaeus ","","1855","Own"
"Jardine, William","","14.5 x 15.5","","Steel Engraving ","","Mark","325","Storage","Inuus Sylvanus","","1855","Own"
"Jardine, William","","14.5 x 15.5","","Steel Engraving ","","Mark","325","Storage","Midas Leonina","","1855","Own"
"Jardine, William","","14.5 x 15.5","","Steel Engraving ","","Mark","325","Storage","Papio Mormon","","1855","Own"
"Julian Opie","11/1/2023","","Off Dining Room","LCD Panels","","YM","163500","Carpinteria","Birds","Andrew Witkin","2022","Own"
"Kahraman, Hayv","10/10/2019","60.25 x 60","Guest Bed","Oil on linen","","YM","56000","NYC","Not Quite Human 3","","2019","Own"
"Kanevsky, Alex","11/10/2020","60"" x 60""","Living Room","Oil on linen","","YM","50000","Truckee","Breakfast on the Grass","Dolby Chadwick Gallery","2020","Own"
"Kanevsky, Alex","6/24/2023","46 x 68","Living Room","Oil on Panel","","YM","56000","SF","Garden of Earthly Delights and Disappointments","Dolby Chadwick Gallery","2022","Own"
"Kanevsky, Alex","1/19/2021","66 x 66","Living Room","Oil on Canvas","","YM","56000","Carpinteria","Girl with a Horse in Cerulleda","Dolby Chadwick Gallery","2019","Own"
"Kanevsky, Alex","6/24/2023","48 x 48","Living Room","Oil on panel","","YM","48000","SF","Green Coat","Dolby Chadwick Gallery","2022","Own"
"Kanevsky, Alex","11/10/2020","11"" x 20""","","Oil on panel","","YM","9500","Truckee","Irish Sea","Dolby Chadwick Gallery","2019","Own"
